Symbol,Company Name,Market,Industry Group,Sector,
EA,ENERGY ABSOLUTE PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
EASON,EASON & CO PUBLIC COMPANY LIMITED,SET,INDUS,AUTO,
EASTW,EASTERN WATER RESOURCES DEVELOPMENT AND MANAGEMENT PCL.,SET,RESOURC,ENERG,
ECF,EAST COAST FURNITECH PUBLIC COMPANY LIMITED,mai,CONSUMP,-,
ECL,EASTERN COMMERCIAL LEASING PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
EE,ETERNAL ENERGY PUBLIC COMPANY LIMITED,SET,AGRO,AGRI,
EFORL,E FOR L AIM PUBLIC COMPANY LIMITED,mai,CONSUMP,-,
EGCO,ELECTRICITY GENERATING PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
EKH,EKACHAI MEDICAL CARE PUBLIC COMPANY LIMITED,SET,SERVICE,HELTH,
EMC,EMC PUBLIC COMPANY LIMITED,SET,PROPCON,CONS,
EP,EASTERN POWER GROUP PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
EPG,EASTERN POLYMER GROUP PUBLIC COMPANY LIMITED,SET,PROPCON,CONMAT,
ERW,THE ERAWAN GROUP PUBLIC COMPANY LIMITED,SET,SERVICE,TOURISM,
ERWPF,ERAWAN HOTEL GROWTH PROPERTY FUND,SET,PROPCON,PF&REIT,
ESSO,ESSO (THAILAND) PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
ESTAR,EASTERN STAR REAL ESTATE PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
ETC,EARTH TECH ENVIRONMENT PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
ETE,EASTERN TECHNICAL ENGINEERING PUBLIC COMPANY LIMITED,mai,SERVICE,-,
EVER,EVERLAND PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
F&D,FOOD AND DRINKS PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
FANCY,FANCY WOOD INDUSTRIES PUBLIC COMPANY LIMITED,SET,CONSUMP,HOME,
FE,FAR EAST FAME LINE DDB PUBLIC COMPANY LIMITED,SET,SERVICE,MEDIA,
FLOYD,FLOYD PUBLIC COMPANY LIMITED,mai,PROPCON,-,
FMT,FINE METAL TECHNOLOGIES PUBLIC COMPANY LIMITED,SET,INDUS,IMM,
FN,FN FACTORY OUTLET PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
FNS,FNS HOLDINGS PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
FORTH,FORTH CORPORATION PUBLIC COMPANY LIMITED,SET,TECH,ICT,
FPI,FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED,mai,INDUS,-,
FPT,FRASERS PROPERTY (THAILAND) PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
FSMART,FORTH SMART SERVICE PUBLIC COMPANY LIMITED,mai,SERVICE,-,
FSS,FINANSIA SYRUS SECURITIES PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
FTE,FIRETRADE ENGINEERING PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
FTI,Function International Public Company Limited,SET,CONSUMP,HOME,
FTREIT,FRASERS PROPERTY THAILAND INDUSTRIAL FREEHOLD & LEASEHOLD REIT,SET,PROPCON,PF&REIT,
FUTUREPF,FUTURE PARK LEASEHOLD PROPERTY FUND,SET,PROPCON,PF&REIT,
FVC,FILTER VISION PUBLIC COMPANY LIMITED,mai,SERVICE,-,
GABLE,G-Able Public Company Limited,SET,TECH,ICT,
GAHREIT,GRANDE HOSPITALITY REAL ESTATE INVESTMENT TRUST,SET,PROPCON,PF&REIT,
GBX,GLOBLEX HOLDING MANAGEMENT PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
GC,GLOBAL CONNECTIONS PUBLIC COMPANY LIMITED,SET,INDUS,PETRO,
GCAP,G CAPITAL PUBLIC COMPANY LIMITED,mai,FINCIAL,-,
GEL,GENERAL ENGINEERING PUBLIC COMPANY LIMITED,SET,PROPCON,CONMAT,
GENCO,"GENERAL ENVIRONMENTAL CONSERVATION PUBLIC CO., LTD.",SET,SERVICE,PROF,
GFPT,GFPT PUBLIC COMPANY LIMITED,SET,AGRO,AGRI,
GGC,GLOBAL GREEN CHEMICALS PUBLIC COMPANY LIMITED,SET,INDUS,PETRO,
GIFT,GIFT INFINITE PUBLIC COMPANY LIMITED,SET,INDUS,PETRO,
GJS,G J STEEL PUBLIC COMPANY LIMITED,SET,INDUS,STEEL,
GL,GROUP LEASE PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
GLAND,GRAND CANAL LAND PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
GLOBAL,SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
GLOCON,GLOBAL CONSUMER PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
GLORY,GLORY FOREVER PUBLIC COMPANY LIMITED,mai,SERVICE,-,
GPI,GRAND PRIX INTERNATIONAL PUBLIC COMPANY LIMITED,SET,SERVICE,MEDIA,
GPSC,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
GRAMMY,GMM GRAMMY PUBLIC COMPANY LIMITED,SET,SERVICE,MEDIA,
GRAND,GRANDE ASSET HOTELS AND PROPERTY PUBLIC COMPANY LIMITED,SET,SERVICE,TOURISM,
GREEN,GREEN RESOURCES PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
GROREIT,GRANDE ROYAL ORCHID HOSPITALITY REAL ESTATE INVESTMENT TRUST WITH BUY-BACK CONDITION,SET,PROPCON,PF&REIT,
GSC,GLOBAL SERVICE CENTER PUBLIC COMPANY LIMITED,mai,SERVICE,-,
GSTEEL,G STEEL PUBLIC COMPANY LIMITED,SET,INDUS,STEEL,
GTB,GETABEC PUBLIC COMPANY LIMITED,mai,INDUS,-,
GTV,GREEN TECH VENTURES PUBLIC COMPANY LIMITED,mai,RESOURC,-,
